,model_name,training_size,accuracy
0,RandomForestClassifier,100,0.3605
1,LinearSVC,100,0.6115
2,MultinomialNB,100,0.3395
3,LogisticRegression,100,0.285
4,RandomForestClassifier,100,0.3055
5,LinearSVC,100,0.587
6,MultinomialNB,100,0.405
7,LogisticRegression,100,0.3905
8,RandomForestClassifier,100,0.31
9,LinearSVC,100,0.52
10,MultinomialNB,100,0.333
11,LogisticRegression,100,0.4455
12,RandomForestClassifier,100,0.25
13,LinearSVC,100,0.6465
14,MultinomialNB,100,0.3735
15,LogisticRegression,100,0.3395
16,RandomForestClassifier,100,0.3435
17,LinearSVC,100,0.5785
18,MultinomialNB,100,0.275
19,LogisticRegression,100,0.4685
20,RandomForestClassifier,100,0.26
21,LinearSVC,100,0.581
22,MultinomialNB,100,0.545
23,LogisticRegression,100,0.2715
24,RandomForestClassifier,100,0.333
25,LinearSVC,100,0.625
26,MultinomialNB,100,0.5035
27,LogisticRegression,100,0.351
28,RandomForestClassifier,100,0.269
29,LinearSVC,100,0.622
30,MultinomialNB,100,0.534
31,LogisticRegression,100,0.359
32,RandomForestClassifier,100,0.256
33,LinearSVC,100,0.535
34,MultinomialNB,100,0.4985
35,LogisticRegression,100,0.5345
36,RandomForestClassifier,100,0.2995
37,LinearSVC,100,0.6085
38,MultinomialNB,100,0.4475
39,LogisticRegression,100,0.4755
40,RandomForestClassifier,200,0.4295
41,LinearSVC,200,0.7195
42,MultinomialNB,200,0.591
43,LogisticRegression,200,0.629
44,RandomForestClassifier,200,0.3855
45,LinearSVC,200,0.7155
46,MultinomialNB,200,0.676
47,LogisticRegression,200,0.61
48,RandomForestClassifier,200,0.538
49,LinearSVC,200,0.69
50,MultinomialNB,200,0.666
51,LogisticRegression,200,0.6545
52,RandomForestClassifier,200,0.282
53,LinearSVC,200,0.639
54,MultinomialNB,200,0.5485
55,LogisticRegression,200,0.616
56,RandomForestClassifier,200,0.267
57,LinearSVC,200,0.701
58,MultinomialNB,200,0.6535
