,model_name,training_size,accuracy
0,RandomForestClassifier,100,0.1475
1,LinearSVC,100,0.721
2,MultinomialNB,100,0.3605
3,LogisticRegression,100,0.32
4,RandomForestClassifier,100,0.169
5,LinearSVC,100,0.7175
6,MultinomialNB,100,0.28
7,LogisticRegression,100,0.2365
8,RandomForestClassifier,100,0.232
9,LinearSVC,100,0.71
10,MultinomialNB,100,0.268
11,LogisticRegression,100,0.1415
12,RandomForestClassifier,100,0.346
13,LinearSVC,100,0.6085
14,MultinomialNB,100,0.114
15,LogisticRegression,100,0.4285
16,RandomForestClassifier,100,0.3295
17,LinearSVC,100,0.649
18,MultinomialNB,100,0.149
19,LogisticRegression,100,0.3225
20,RandomForestClassifier,100,0.249
21,LinearSVC,100,0.642
22,MultinomialNB,100,0.2905
23,LogisticRegression,100,0.2245
24,RandomForestClassifier,100,0.176
25,LinearSVC,100,0.771
26,MultinomialNB,100,0.217
27,LogisticRegression,100,0.3205
28,RandomForestClassifier,100,0.118
29,LinearSVC,100,0.6995
30,MultinomialNB,100,0.252
31,LogisticRegression,100,0.3745
32,RandomForestClassifier,100,0.113
33,LinearSVC,100,0.6215
34,MultinomialNB,100,0.2215
35,LogisticRegression,100,0.3505
36,RandomForestClassifier,100,0.328
37,LinearSVC,100,0.5875
38,MultinomialNB,100,0.136
39,LogisticRegression,100,0.2965
40,RandomForestClassifier,200,0.3705
41,LinearSVC,200,0.846
42,MultinomialNB,200,0.4455
43,LogisticRegression,200,0.428
44,RandomForestClassifier,200,0.4185
45,LinearSVC,200,0.856
46,MultinomialNB,200,0.569
47,LogisticRegression,200,0.532
48,RandomForestClassifier,200,0.326
49,LinearSVC,200,0.7715
50,MultinomialNB,200,0.4805
51,LogisticRegression,200,0.5255
52,RandomForestClassifier,200,0.364
53,LinearSVC,200,0.8315
54,MultinomialNB,200,0.3765
55,LogisticRegression,200,0.435
56,RandomForestClassifier,200,0.4495
57,LinearSVC,200,0.8165
58,MultinomialNB,200,0.4215
59,LogisticRegression,200,0.5235
60,RandomForestClassifier,200,0.357
61,LinearSVC,200,0.845
62,MultinomialNB,200,0.387
63,LogisticRegression,200,0.537
64,RandomForestClassifier,200,0.4015
65,LinearSVC,200,0.7685
66,MultinomialNB,200,0.598
67,LogisticRegression,200,0.4495
68,RandomForestClassifier,200,0.438
69,LinearSVC,200,0.841
70,MultinomialNB,200,0.541
71,LogisticRegression,200,0.4595
72,RandomForestClassifier,200,0.5065
73,LinearSVC,200,0.7855
74,MultinomialNB,200,0.3145
75,LogisticRegression,200,0.6205
76,RandomForestClassifier,200,0.3545
77,LinearSVC,200,0.812
78,MultinomialNB,200,0.5205
79,LogisticRegression,200,0.3
80,RandomForestClassifier,400,0.4015
81,LinearSVC,400,0.9025
82,MultinomialNB,400,0.7895
83,LogisticRegression,400,0.787
84,RandomForestClassifier,400,0.521
85,LinearSVC,400,0.896
86,MultinomialNB,400,0.713
87,LogisticRegression,400,0.792
88,RandomForestClassifier,400,0.5495
89,LinearSVC,400,0.8845
90,MultinomialNB,400,0.828
91,LogisticRegression,400,0.7635
92,RandomForestClassifier,400,0.351
93,LinearSVC,400,0.893
94,MultinomialNB,400,0.609
95,LogisticRegression,400,0.7025
96,RandomForestClassifier,400,0.5555
97,LinearSVC,400,0.896
98,MultinomialNB,400,0.709
99,LogisticRegression,400,0.829
100,RandomForestClassifier,400,0.5045
101,LinearSVC,400,0.872
102,MultinomialNB,400,0.7135
103,LogisticRegression,400,0.711
104,RandomForestClassifier,400,0.5275
105,LinearSVC,400,0.864
106,MultinomialNB,400,0.5875
107,LogisticRegression,400,0.8435
108,RandomForestClassifier,400,0.648
109,LinearSVC,400,0.8785
110,MultinomialNB,400,0.717
111,LogisticRegression,400,0.7905
112,RandomForestClassifier,400,0.481
113,LinearSVC,400,0.887
114,MultinomialNB,400,0.6975
115,LogisticRegression,400,0.742
116,RandomForestClassifier,400,0.5955
117,LinearSVC,400,0.89
118,MultinomialNB,400,0.676
119,LogisticRegression,400,0.767
120,RandomForestClassifier,800,0.725
121,LinearSVC,800,0.932
122,MultinomialNB,800,0.8635
123,LogisticRegression,800,0.8805
124,RandomForestClassifier,800,0.513
125,LinearSVC,800,0.931
126,MultinomialNB,800,0.8795
127,LogisticRegression,800,0.9125
128,RandomForestClassifier,800,0.7085
129,LinearSVC,800,0.9265
130,MultinomialNB,800,0.873
131,LogisticRegression,800,0.8505
132,RandomForestClassifier,800,0.557
133,LinearSVC,800,0.928
134,MultinomialNB,800,0.8455
135,LogisticRegression,800,0.909
136,RandomForestClassifier,800,0.493
137,LinearSVC,800,0.936
138,MultinomialNB,800,0.823
139,LogisticRegression,800,0.899
140,RandomForestClassifier,800,0.6075
141,LinearSVC,800,0.923
142,MultinomialNB,800,0.83
143,LogisticRegression,800,0.905
144,RandomForestClassifier,800,0.6225
145,LinearSVC,800,0.9275
146,MultinomialNB,800,0.8655
147,LogisticRegression,800,0.8855
148,RandomForestClassifier,800,0.514
149,LinearSVC,800,0.9205
150,MultinomialNB,800,0.848
151,LogisticRegression,800,0.8955
152,RandomForestClassifier,800,0.6325
153,LinearSVC,800,0.9265
154,MultinomialNB,800,0.826
155,LogisticRegression,800,0.8895
156,RandomForestClassifier,800,0.656
157,LinearSVC,800,0.9235
158,MultinomialNB,800,0.8945
159,LogisticRegression,800,0.9085
160,RandomForestClassifier,1600,0.736
161,LinearSVC,1600,0.95
162,MultinomialNB,1600,0.9205
163,LogisticRegression,1600,0.936
164,RandomForestClassifier,1600,0.5765
165,LinearSVC,1600,0.9435
166,MultinomialNB,1600,0.9165
167,LogisticRegression,1600,0.9365
168,RandomForestClassifier,1600,0.6835
169,LinearSVC,1600,0.9425
170,MultinomialNB,1600,0.9215
171,LogisticRegression,1600,0.937
172,RandomForestClassifier,1600,0.745
173,LinearSVC,1600,0.942
174,MultinomialNB,1600,0.921
175,LogisticRegression,1600,0.9365
176,RandomForestClassifier,1600,0.718
177,LinearSVC,1600,0.949
178,MultinomialNB,1600,0.896
179,LogisticRegression,1600,0.937
180,RandomForestClassifier,1600,0.6835
181,LinearSVC,1600,0.9445
182,MultinomialNB,1600,0.938
183,LogisticRegression,1600,0.921
184,RandomForestClassifier,1600,0.711
185,LinearSVC,1600,0.945
186,MultinomialNB,1600,0.9285
187,LogisticRegression,1600,0.9305
188,RandomForestClassifier,1600,0.6895
189,LinearSVC,1600,0.9405
190,MultinomialNB,1600,0.899
191,LogisticRegression,1600,0.932
192,RandomForestClassifier,1600,0.7215
193,LinearSVC,1600,0.946
194,MultinomialNB,1600,0.93
195,LogisticRegression,1600,0.938
196,RandomForestClassifier,1600,0.6905
197,LinearSVC,1600,0.941
198,MultinomialNB,1600,0.9335
199,LogisticRegression,1600,0.9405
200,RandomForestClassifier,3200,0.763
201,LinearSVC,3200,0.959
202,MultinomialNB,3200,0.946
203,LogisticRegression,3200,0.953
204,RandomForestClassifier,3200,0.793
205,LinearSVC,3200,0.958
206,MultinomialNB,3200,0.9425
207,LogisticRegression,3200,0.953
208,RandomForestClassifier,3200,0.7725
209,LinearSVC,3200,0.957
210,MultinomialNB,3200,0.945
211,LogisticRegression,3200,0.951
212,RandomForestClassifier,3200,0.733
213,LinearSVC,3200,0.9615
214,MultinomialNB,3200,0.9455
215,LogisticRegression,3200,0.9465
216,RandomForestClassifier,3200,0.764
217,LinearSVC,3200,0.954
218,MultinomialNB,3200,0.9485
219,LogisticRegression,3200,0.9475
220,RandomForestClassifier,3200,0.755
221,LinearSVC,3200,0.9575
222,MultinomialNB,3200,0.942
223,LogisticRegression,3200,0.949
224,RandomForestClassifier,3200,0.787
225,LinearSVC,3200,0.958
226,MultinomialNB,3200,0.9445
227,LogisticRegression,3200,0.951
228,RandomForestClassifier,3200,0.777
229,LinearSVC,3200,0.96
230,MultinomialNB,3200,0.9425
231,LogisticRegression,3200,0.945
232,RandomForestClassifier,3200,0.6905
233,LinearSVC,3200,0.958
234,MultinomialNB,3200,0.9445
235,LogisticRegression,3200,0.9465
236,RandomForestClassifier,3200,0.7915
237,LinearSVC,3200,0.9565
238,MultinomialNB,3200,0.9475
239,LogisticRegression,3200,0.95
240,RandomForestClassifier,5000,0.7415
241,LinearSVC,5000,0.963
242,MultinomialNB,5000,0.9535
243,LogisticRegression,5000,0.955
244,RandomForestClassifier,5000,0.775
245,LinearSVC,5000,0.9665
246,MultinomialNB,5000,0.955
247,LogisticRegression,5000,0.956
248,RandomForestClassifier,5000,0.79
249,LinearSVC,5000,0.968
250,MultinomialNB,5000,0.953
251,LogisticRegression,5000,0.955
252,RandomForestClassifier,5000,0.81
253,LinearSVC,5000,0.9585
254,MultinomialNB,5000,0.955
255,LogisticRegression,5000,0.9535
256,RandomForestClassifier,5000,0.7585
257,LinearSVC,5000,0.9635
258,MultinomialNB,5000,0.946
259,LogisticRegression,5000,0.954
260,RandomForestClassifier,5000,0.781
261,LinearSVC,5000,0.963
262,MultinomialNB,5000,0.9505
263,LogisticRegression,5000,0.952
264,RandomForestClassifier,5000,0.814
265,LinearSVC,5000,0.966
266,MultinomialNB,5000,0.949
267,LogisticRegression,5000,0.9565
268,RandomForestClassifier,5000,0.746
269,LinearSVC,5000,0.965
270,MultinomialNB,5000,0.9545
271,LogisticRegression,5000,0.952
272,RandomForestClassifier,5000,0.788
273,LinearSVC,5000,0.9635
274,MultinomialNB,5000,0.9575
275,LogisticRegression,5000,0.9525
276,RandomForestClassifier,5000,0.776
277,LinearSVC,5000,0.964
278,MultinomialNB,5000,0.9545
279,LogisticRegression,5000,0.9545
