,model_name,training_size,accuracy
0,RandomForestClassifier,100,0.2005
1,LinearSVC,100,0.3525
2,MultinomialNB,100,0.2335
3,LogisticRegression,100,0.2345
4,RandomForestClassifier,100,0.2185
5,LinearSVC,100,0.3405
6,MultinomialNB,100,0.2435
7,LogisticRegression,100,0.3135
8,RandomForestClassifier,100,0.193
9,LinearSVC,100,0.3035
10,MultinomialNB,100,0.2805
11,LogisticRegression,100,0.224
12,RandomForestClassifier,100,0.231
13,LinearSVC,100,0.3425
14,MultinomialNB,100,0.2075
15,LogisticRegression,100,0.257
16,RandomForestClassifier,100,0.2055
17,LinearSVC,100,0.306
18,MultinomialNB,100,0.206
19,LogisticRegression,100,0.2185
20,RandomForestClassifier,100,0.2145
21,LinearSVC,100,0.337
22,MultinomialNB,100,0.201
23,LogisticRegression,100,0.2425
24,RandomForestClassifier,200,0.2235
25,LinearSVC,200,0.3425
26,MultinomialNB,200,0.2545
27,LogisticRegression,200,0.231
28,RandomForestClassifier,200,0.2265
29,LinearSVC,200,0.3685
30,MultinomialNB,200,0.197
31,LogisticRegression,200,0.287
32,RandomForestClassifier,200,0.2715
33,LinearSVC,200,0.3575
34,MultinomialNB,200,0.278
35,LogisticRegression,200,0.3085
36,RandomForestClassifier,200,0.2595
37,LinearSVC,200,0.3425
38,MultinomialNB,200,0.288
39,LogisticRegression,200,0.3145
40,RandomForestClassifier,200,0.2565
41,LinearSVC,200,0.3535
42,MultinomialNB,200,0.223
43,LogisticRegression,200,0.2385
44,RandomForestClassifier,200,0.1965
45,LinearSVC,200,0.3275
46,MultinomialNB,200,0.2435
47,LogisticRegression,200,0.284
48,RandomForestClassifier,400,0.332
49,LinearSVC,400,0.376
50,MultinomialNB,400,0.3615
51,LogisticRegression,400,0.3085
52,RandomForestClassifier,400,0.2545
53,LinearSVC,400,0.381
54,MultinomialNB,400,0.371
55,LogisticRegression,400,0.351
56,RandomForestClassifier,400,0.2755
57,LinearSVC,400,0.387
58,MultinomialNB,400,0.3635
59,LogisticRegression,400,0.3725
60,RandomForestClassifier,400,0.2765
61,LinearSVC,400,0.3905
62,MultinomialNB,400,0.355
63,LogisticRegression,400,0.41
64,RandomForestClassifier,400,0.3345
65,LinearSVC,400,0.395
66,MultinomialNB,400,0.323
67,LogisticRegression,400,0.3575
68,RandomForestClassifier,400,0.2585
69,LinearSVC,400,0.3735
70,MultinomialNB,400,0.3915
71,LogisticRegression,400,0.3755
72,RandomForestClassifier,800,0.2915
73,LinearSVC,800,0.4195
74,MultinomialNB,800,0.4145
75,LogisticRegression,800,0.411
76,RandomForestClassifier,800,0.318
77,LinearSVC,800,0.434
78,MultinomialNB,800,0.356
79,LogisticRegression,800,0.433
80,RandomForestClassifier,800,0.216
81,LinearSVC,800,0.4235
82,MultinomialNB,800,0.3665
83,LogisticRegression,800,0.4255
84,RandomForestClassifier,800,0.244
85,LinearSVC,800,0.4195
86,MultinomialNB,800,0.3055
87,LogisticRegression,800,0.427
88,RandomForestClassifier,800,0.323
89,LinearSVC,800,0.4175
90,MultinomialNB,800,0.384
91,LogisticRegression,800,0.435
92,RandomForestClassifier,800,0.324
93,LinearSVC,800,0.4155
94,MultinomialNB,800,0.33
95,LogisticRegression,800,0.4275
96,RandomForestClassifier,1600,0.301
97,LinearSVC,1600,0.4445
98,MultinomialNB,1600,0.3815
99,LogisticRegression,1600,0.44
100,RandomForestClassifier,1600,0.3025
101,LinearSVC,1600,0.4315
102,MultinomialNB,1600,0.3785
103,LogisticRegression,1600,0.451
104,RandomForestClassifier,1600,0.301
105,LinearSVC,1600,0.466
106,MultinomialNB,1600,0.432
107,LogisticRegression,1600,0.456
108,RandomForestClassifier,1600,0.272
109,LinearSVC,1600,0.4575
110,MultinomialNB,1600,0.423
111,LogisticRegression,1600,0.4575
112,RandomForestClassifier,1600,0.316
113,LinearSVC,1600,0.429
114,MultinomialNB,1600,0.414
115,LogisticRegression,1600,0.456
116,RandomForestClassifier,1600,0.357
117,LinearSVC,1600,0.4495
118,MultinomialNB,1600,0.427
119,LogisticRegression,1600,0.4615
120,RandomForestClassifier,3200,0.3915
121,LinearSVC,3200,0.4615
122,MultinomialNB,3200,0.4105
123,LogisticRegression,3200,0.487
124,RandomForestClassifier,3200,0.364
125,LinearSVC,3200,0.477
126,MultinomialNB,3200,0.4405
127,LogisticRegression,3200,0.4825
128,RandomForestClassifier,3200,0.3845
129,LinearSVC,3200,0.4515
130,MultinomialNB,3200,0.443
131,LogisticRegression,3200,0.468
132,RandomForestClassifier,3200,0.3435
133,LinearSVC,3200,0.4445
134,MultinomialNB,3200,0.408
135,LogisticRegression,3200,0.465
136,RandomForestClassifier,3200,0.3725
137,LinearSVC,3200,0.449
138,MultinomialNB,3200,0.3925
139,LogisticRegression,3200,0.488
140,RandomForestClassifier,3200,0.3485
141,LinearSVC,3200,0.4535
142,MultinomialNB,3200,0.4175
143,LogisticRegression,3200,0.479
144,RandomForestClassifier,5000,0.363
145,LinearSVC,5000,0.4675
146,MultinomialNB,5000,0.477
147,LogisticRegression,5000,0.4845
148,RandomForestClassifier,5000,0.3905
149,LinearSVC,5000,0.4675
150,MultinomialNB,5000,0.4585
151,LogisticRegression,5000,0.477
152,RandomForestClassifier,5000,0.368
153,LinearSVC,5000,0.457
154,MultinomialNB,5000,0.4645
155,LogisticRegression,5000,0.468
156,RandomForestClassifier,5000,0.374
157,LinearSVC,5000,0.4425
158,MultinomialNB,5000,0.4615
159,LogisticRegression,5000,0.489
160,RandomForestClassifier,5000,0.387
161,LinearSVC,5000,0.4695
162,MultinomialNB,5000,0.4485
163,LogisticRegression,5000,0.48
164,RandomForestClassifier,5000,0.3995
165,LinearSVC,5000,0.468
166,MultinomialNB,5000,0.4555
167,LogisticRegression,5000,0.4635
